Date,Location_ID,Location_Name,Location_Type,Product_ID,Product_Name,Category,Sub_Category,Price,Sales_Qty,Revenue,Current_Stock,Target_Stock
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,E_001,iPhone 15,Electronics,Mobile,80000,0,0,2500,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,E_002,Samsung S24,Electronics,Mobile,75000,0,0,2500,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,E_003,MacBook Air,Electronics,Laptop,100000,0,0,1000,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,E_004,Sony Headphones,Electronics,Audio,20000,0,0,4000,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,D_001,Fresh Milk 1L,Daily Needs,Dairy,60,0,0,100000,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,D_002,Whole Wheat Bread,Daily Needs,Bakery,50,0,0,75000,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,D_003,Farm Eggs (12),Daily Needs,Dairy,90,0,0,50000,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,D_004,Tomatoes (1kg),Daily Needs,Vegetables,40,0,0,90000,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,H_001,Detergent 2kg,Home Essentials,Cleaning,350,0,0,20000,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,H_002,Toilet Paper Pack,Home Essentials,Cleaning,200,0,0,30000,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,H_003,Study Table,Home Essentials,Furniture,4000,0,0,500,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,F_001,Mens T-Shirt,Fashion,Menswear,800,0,0,12500,0
2025-08-04,W_001,Shamirpet Central Warehouse,Warehouse,F_002,Womans Jeans,Fashion,Womenswear,2500,0,0,7500,0
2025-08-04,S_001,Gachibowli,Store,E_001,iPhone 15,Electronics,Mobile,80000,5,400000,27,35
