Date,Location_ID,Location_Name,Location_Type,Lat,Lon,Product_ID,Product_Name,Category,Sales_Quantity,Current_Stock,Lead_Time_Days,Price
2025-01-31,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_001,Milk,Dairy,0,7254,14,3.5
2025-01-31,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_002,Bread,Bakery,0,4881,14,2.0
2025-01-31,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_003,Smartphone,Electronics,0,536,14,500.0
2025-01-31,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_004,T-Shirt,Clothing,0,2479,14,15.0
2025-01-31,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_005,Detergent,Household,0,1584,14,8.0
2025-01-31,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_001,Milk,Dairy,205,227,2,3.5
2025-01-31,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_002,Bread,Bakery,140,211,2,2.0
2025-01-31,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_003,Smartphone,Electronics,8,23,2,500.0
2025-01-31,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_004,T-Shirt,Clothing,81,100,2,15.0
2025-01-31,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_005,Detergent,Household,31,54,2,8.0
2025-01-31,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_001,Milk,Dairy,173,228,2,3.5
2025-01-31,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_002,Bread,Bakery,127,142,2,2.0
2025-01-31,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_003,Smartphone,Electronics,12,15,2,500.0
2025-01-31,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_004,T-Shirt,Clothing,53,57,2,15.0
2025-01-31,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_005,Detergent,Household,35,40,2,8.0
2025-01-31,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_001,Milk,Dairy,184,284,2,3.5
2025-01-31,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_002,Bread,Bakery,141,181,2,2.0
2025-01-31,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_003,Smartphone,Electronics,12,18,2,500.0
2025-01-31,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_004,T-Shirt,Clothing,46,89,2,15.0
2025-01-31,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_005,Detergent,Household,44,58,2,8.0
2025-01-31,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_001,Milk,Dairy,141,187,2,3.5
2025-01-31,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_002,Bread,Bakery,86,113,2,2.0
2025-01-31,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_003,Smartphone,Electronics,11,10,2,500.0
2025-01-31,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_004,T-Shirt,Clothing,38,60,2,15.0
2025-01-31,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_005,Detergent,Household,27,37,2,8.0
2025-01-31,Branch_005,Uppal,Spoke,17.39,78.56,SKU_001,Milk,Dairy,88,142,2,3.5
2025-01-31,Branch_005,Uppal,Spoke,17.39,78.56,SKU_002,Bread,Bakery,91,101,2,2.0
2025-01-31,Branch_005,Uppal,Spoke,17.39,78.56,SKU_003,Smartphone,Electronics,10,10,2,500.0
2025-01-31,Branch_005,Uppal,Spoke,17.39,78.56,SKU_004,T-Shirt,Clothing,44,44,2,15.0
2025-01-31,Branch_005,Uppal,Spoke,17.39,78.56,SKU_005,Detergent,Household,27,30,2,8.0
2025-02-01,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_001,Milk,Dairy,0,7742,14,3.5
2025-02-01,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_002,Bread,Bakery,0,5074,14,2.0
2025-02-01,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_003,Smartphone,Electronics,0,539,14,500.0
2025-02-01,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_004,T-Shirt,Clothing,0,2688,14,15.0
2025-02-01,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_005,Detergent,Household,0,1264,14,8.0
2025-02-01,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_001,Milk,Dairy,274,297,2,3.5
2025-02-01,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_002,Bread,Bakery,170,146,2,2.0
2025-02-01,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_003,Smartphone,Electronics,16,17,2,500.0
2025-02-01,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_004,T-Shirt,Clothing,112,117,2,15.0
2025-02-01,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_005,Detergent,Household,61,61,2,8.0
2025-02-01,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_001,Milk,Dairy,211,211,2,3.5
2025-02-01,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_002,Bread,Bakery,162,142,2,2.0
2025-02-01,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_003,Smartphone,Electronics,10,16,2,500.0
2025-02-01,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_004,T-Shirt,Clothing,77,65,2,15.0
2025-02-01,Branch_002,Banjara Hills,Spoke,17.41,78.43,SKU_005,Detergent,Household,51,43,2,8.0
2025-02-01,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_001,Milk,Dairy,272,249,2,3.5
2025-02-01,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_002,Bread,Bakery,209,171,2,2.0
2025-02-01,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_003,Smartphone,Electronics,17,17,2,500.0
2025-02-01,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_004,T-Shirt,Clothing,100,81,2,15.0
2025-02-01,Branch_003,Gachibowli,Spoke,17.44,78.34,SKU_005,Detergent,Household,64,53,2,8.0
2025-02-01,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_001,Milk,Dairy,171,182,2,3.5
2025-02-01,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_002,Bread,Bakery,124,109,2,2.0
2025-02-01,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_003,Smartphone,Electronics,15,10,2,500.0
2025-02-01,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_004,T-Shirt,Clothing,51,60,2,15.0
2025-02-01,Branch_004,Secunderabad,Spoke,17.43,78.5,SKU_005,Detergent,Household,35,37,2,8.0
2025-02-01,Branch_005,Uppal,Spoke,17.39,78.56,SKU_001,Milk,Dairy,160,154,2,3.5
2025-02-01,Branch_005,Uppal,Spoke,17.39,78.56,SKU_002,Bread,Bakery,79,87,2,2.0
2025-02-01,Branch_005,Uppal,Spoke,17.39,78.56,SKU_003,Smartphone,Electronics,12,10,2,500.0
2025-02-01,Branch_005,Uppal,Spoke,17.39,78.56,SKU_004,T-Shirt,Clothing,41,53,2,15.0
2025-02-01,Branch_005,Uppal,Spoke,17.39,78.56,SKU_005,Detergent,Household,25,27,2,8.0
2025-02-02,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_001,Milk,Dairy,0,6875,14,3.5
2025-02-02,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_002,Bread,Bakery,0,5040,14,2.0
2025-02-02,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_003,Smartphone,Electronics,0,581,14,500.0
2025-02-02,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_004,T-Shirt,Clothing,0,2116,14,15.0
2025-02-02,Warehouse,Kompally Central Warehouse,Hub,17.55,78.49,SKU_005,Detergent,Household,0,1352,14,8.0
2025-02-02,Branch_001,Hitech City,Spoke,17.44,78.38,SKU_001,Milk,Dairy,285,310,2,3.5
