Date,Product_ID,Category,Sales_Quantity,Current_Stock,Lead_Time_Days
2024-02-01,SKU_001,Dairy,159,842,2
2024-02-01,SKU_002,Bakery,94,458,2
2024-02-01,SKU_003,Electronics,10,53,14
2024-02-01,SKU_004,Clothing,50,219,7
2024-02-01,SKU_005,Household,29,194,5
2024-02-02,SKU_001,Dairy,189,1279,2
2024-02-02,SKU_002,Bakery,107,378,2
2024-02-02,SKU_003,Electronics,10,45,14
2024-02-02,SKU_004,Clothing,47,205,7
2024-02-02,SKU_005,Household,30,162,5
2024-02-03,SKU_001,Dairy,137,673,2
2024-02-03,SKU_002,Bakery,147,497,2
2024-02-03,SKU_003,Electronics,9,53,14
2024-02-03,SKU_004,Clothing,54,305,7
2024-02-03,SKU_005,Household,33,154,5
2024-02-04,SKU_001,Dairy,170,435,2
2024-02-04,SKU_002,Bakery,122,466,2
2024-02-04,SKU_003,Electronics,11,55,14
2024-02-04,SKU_004,Clothing,45,180,7
2024-02-04,SKU_005,Household,31,229,5
2024-02-05,SKU_001,Dairy,140,1061,2
2024-02-05,SKU_002,Bakery,102,639,2
2024-02-05,SKU_003,Electronics,9,40,14
2024-02-05,SKU_004,Clothing,44,185,7
2024-02-05,SKU_005,Household,32,221,5
2024-02-06,SKU_001,Dairy,117,392,2
2024-02-06,SKU_002,Bakery,101,590,2
2024-02-06,SKU_003,Electronics,10,32,14
2024-02-06,SKU_004,Clothing,49,340,7
2024-02-06,SKU_005,Household,33,235,5
2024-02-07,SKU_001,Dairy,146,1008,2
2024-02-07,SKU_002,Bakery,111,713,2
2024-02-07,SKU_003,Electronics,10,50,14
2024-02-07,SKU_004,Clothing,61,349,7
2024-02-07,SKU_005,Household,37,140,5
2024-02-08,SKU_001,Dairy,143,807,2
2024-02-08,SKU_002,Bakery,83,347,2
2024-02-08,SKU_003,Electronics,8,44,14
2024-02-08,SKU_004,Clothing,47,272,7
2024-02-08,SKU_005,Household,26,124,5
2024-02-09,SKU_001,Dairy,117,602,2
2024-02-09,SKU_002,Bakery,99,586,2
2024-02-09,SKU_003,Electronics,9,63,14
2024-02-09,SKU_004,Clothing,53,244,7
2024-02-09,SKU_005,Household,29,192,5
2024-02-10,SKU_001,Dairy,151,1030,2
2024-02-10,SKU_002,Bakery,126,280,2
2024-02-10,SKU_003,Electronics,9,49,14
2024-02-10,SKU_004,Clothing,57,237,7
2024-02-10,SKU_005,Household,27,150,5
2024-02-11,SKU_001,Dairy,130,662,2
2024-02-11,SKU_002,Bakery,149,525,2
2024-02-11,SKU_003,Electronics,9,103,14
2024-02-11,SKU_004,Clothing,49,297,7
2024-02-11,SKU_005,Household,28,134,5
2024-02-12,SKU_001,Dairy,145,620,2
2024-02-12,SKU_002,Bakery,89,434,2
2024-02-12,SKU_003,Electronics,8,55,14
2024-02-12,SKU_004,Clothing,56,284,7
2024-02-12,SKU_005,Household,25,185,5
2024-02-13,SKU_001,Dairy,142,1063,2
2024-02-13,SKU_002,Bakery,93,487,2
2024-02-13,SKU_003,Electronics,10,27,14
2024-02-13,SKU_004,Clothing,50,237,7
2024-02-13,SKU_005,Household,33,140,5
2024-02-14,SKU_001,Dairy,155,790,2
2024-02-14,SKU_002,Bakery,94,464,2
2024-02-14,SKU_003,Electronics,10,71,14
2024-02-14,SKU_004,Clothing,59,377,7
2024-02-14,SKU_005,Household,31,153,5
2024-02-15,SKU_001,Dairy,166,727,2
2024-02-15,SKU_002,Bakery,91,351,2
2024-02-15,SKU_003,Electronics,11,49,14
2024-02-15,SKU_004,Clothing,44,281,7
2024-02-15,SKU_005,Household,33,77,5
2024-02-16,SKU_001,Dairy,165,368,2
2024-02-16,SKU_002,Bakery,103,534,2
2024-02-16,SKU_003,Electronics,9,63,14
2024-02-16,SKU_004,Clothing,51,245,7
2024-02-16,SKU_005,Household,29,100,5
2024-02-17,SKU_001,Dairy,163,661,2
2024-02-17,SKU_002,Bakery,117,557,2
2024-02-17,SKU_003,Electronics,9,53,14
2024-02-17,SKU_004,Clothing,51,253,7
2024-02-17,SKU_005,Household,29,72,5
2024-02-18,SKU_001,Dairy,155,992,2
2024-02-18,SKU_002,Bakery,144,497,2
2024-02-18,SKU_003,Electronics,9,68,14
2024-02-18,SKU_004,Clothing,54,322,7
2024-02-18,SKU_005,Household,27,141,5
2024-02-19,SKU_001,Dairy,159,548,2
2024-02-19,SKU_002,Bakery,106,575,2
2024-02-19,SKU_003,Electronics,10,18,14
2024-02-19,SKU_004,Clothing,41,216,7
2024-02-19,SKU_005,Household,34,137,5
2024-02-20,SKU_001,Dairy,127,941,2
2024-02-20,SKU_002,Bakery,106,571,2
2024-02-20,SKU_003,Electronics,11,28,14
2024-02-20,SKU_004,Clothing,52,72,7
2024-02-20,SKU_005,Household,32,95,5
2024-02-21,SKU_001,Dairy,132,734,2
2024-02-21,SKU_002,Bakery,98,412,2
2024-02-21,SKU_003,Electronics,10,30,14
2024-02-21,SKU_004,Clothing,51,412,7
2024-02-21,SKU_005,Household,28,140,5
2024-02-22,SKU_001,Dairy,173,860,2
2024-02-22,SKU_002,Bakery,99,469,2
2024-02-22,SKU_003,Electronics,10,50,14
2024-02-22,SKU_004,Clothing,49,277,7
2024-02-22,SKU_005,Household,28,98,5
2024-02-23,SKU_001,Dairy,159,1020,2
2024-02-23,SKU_002,Bakery,99,193,2
2024-02-23,SKU_003,Electronics,9,42,14
2024-02-23,SKU_004,Clothing,46,257,7
2024-02-23,SKU_005,Household,29,161,5
2024-02-24,SKU_001,Dairy,143,878,2
2024-02-24,SKU_002,Bakery,111,427,2
2024-02-24,SKU_003,Electronics,9,32,14
2024-02-24,SKU_004,Clothing,45,210,7
2024-02-24,SKU_005,Household,30,85,5
2024-02-25,SKU_001,Dairy,128,906,2
2024-02-25,SKU_002,Bakery,125,651,2
2024-02-25,SKU_003,Electronics,8,89,14
2024-02-25,SKU_004,Clothing,48,209,7
2024-02-25,SKU_005,Household,33,139,5
2024-02-26,SKU_001,Dairy,138,729,2
2024-02-26,SKU_002,Bakery,110,354,2
2024-02-26,SKU_003,Electronics,9,44,14
2024-02-26,SKU_004,Clothing,51,280,7
2024-02-26,SKU_005,Household,38,135,5
2024-02-27,SKU_001,Dairy,153,733,2
2024-02-27,SKU_002,Bakery,107,571,2
2024-02-27,SKU_003,Electronics,10,41,14
2024-02-27,SKU_004,Clothing,49,258,7
2024-02-27,SKU_005,Household,26,104,5
2024-02-28,SKU_001,Dairy,172,874,2
2024-02-28,SKU_002,Bakery,114,547,2
2024-02-28,SKU_003,Electronics,8,56,14
2024-02-28,SKU_004,Clothing,54,92,7
2024-02-28,SKU_005,Household,28,163,5
2024-02-29,SKU_001,Dairy,116,563,2
2024-02-29,SKU_002,Bakery,104,505,2
2024-02-29,SKU_003,Electronics,10,37,14
2024-02-29,SKU_004,Clothing,56,375,7
2024-02-29,SKU_005,Household,30,165,5
2024-03-01,SKU_001,Dairy,169,673,2
2024-03-01,SKU_002,Bakery,91,477,2
2024-03-01,SKU_003,Electronics,9,23,14
2024-03-01,SKU_004,Clothing,49,208,7
2024-03-01,SKU_005,Household,29,86,5
2024-03-02,SKU_001,Dairy,156,322,2
2024-03-02,SKU_002,Bakery,145,771,2
2024-03-02,SKU_003,Electronics,11,59,14
2024-03-02,SKU_004,Clothing,52,217,7
2024-03-02,SKU_005,Household,34,149,5
2024-03-03,SKU_001,Dairy,152,1174,2
2024-03-03,SKU_002,Bakery,126,670,2
2024-03-03,SKU_003,Electronics,11,48,14
2024-03-03,SKU_004,Clothing,49,288,7
2024-03-03,SKU_005,Household,28,192,5
2024-03-04,SKU_001,Dairy,146,818,2
2024-03-04,SKU_002,Bakery,100,441,2
2024-03-04,SKU_003,Electronics,10,36,14
2024-03-04,SKU_004,Clothing,42,332,7
2024-03-04,SKU_005,Household,30,185,5
2024-03-05,SKU_001,Dairy,148,686,2
2024-03-05,SKU_002,Bakery,90,634,2
2024-03-05,SKU_003,Electronics,9,51,14
2024-03-05,SKU_004,Clothing,48,314,7
2024-03-05,SKU_005,Household,24,127,5
2024-03-06,SKU_001,Dairy,141,477,2
2024-03-06,SKU_002,Bakery,105,326,2
2024-03-06,SKU_003,Electronics,11,60,14
2024-03-06,SKU_004,Clothing,63,126,7
2024-03-06,SKU_005,Household,33,194,5
2024-03-07,SKU_001,Dairy,161,667,2
2024-03-07,SKU_002,Bakery,97,470,2
2024-03-07,SKU_003,Electronics,11,73,14
2024-03-07,SKU_004,Clothing,43,236,7
2024-03-07,SKU_005,Household,25,158,5
2024-03-08,SKU_001,Dairy,151,762,2
2024-03-08,SKU_002,Bakery,87,414,2
2024-03-08,SKU_003,Electronics,10,53,14
2024-03-08,SKU_004,Clothing,45,177,7
2024-03-08,SKU_005,Household,26,238,5
2024-03-09,SKU_001,Dairy,140,980,2
2024-03-09,SKU_002,Bakery,128,613,2
2024-03-09,SKU_003,Electronics,7,33,14
2024-03-09,SKU_004,Clothing,50,272,7
2024-03-09,SKU_005,Household,27,144,5
2024-03-10,SKU_001,Dairy,148,425,2
2024-03-10,SKU_002,Bakery,145,229,2
2024-03-10,SKU_003,Electronics,8,60,14
2024-03-10,SKU_004,Clothing,54,180,7
2024-03-10,SKU_005,Household,27,130,5
2024-03-11,SKU_001,Dairy,151,923,2
2024-03-11,SKU_002,Bakery,96,431,2
2024-03-11,SKU_003,Electronics,10,43,14
2024-03-11,SKU_004,Clothing,53,267,7
2024-03-11,SKU_005,Household,34,108,5
2024-03-12,SKU_001,Dairy,148,829,2
2024-03-12,SKU_002,Bakery,84,276,2
2024-03-12,SKU_003,Electronics,10,51,14
2024-03-12,SKU_004,Clothing,59,280,7
2024-03-12,SKU_005,Household,30,93,5
2024-03-13,SKU_001,Dairy,131,856,2
2024-03-13,SKU_002,Bakery,96,473,2
2024-03-13,SKU_003,Electronics,8,50,14
2024-03-13,SKU_004,Clothing,54,223,7
2024-03-13,SKU_005,Household,30,140,5
2024-03-14,SKU_001,Dairy,159,1104,2
2024-03-14,SKU_002,Bakery,93,671,2
2024-03-14,SKU_003,Electronics,9,46,14
2024-03-14,SKU_004,Clothing,55,283,7
2024-03-14,SKU_005,Household,32,206,5
2024-03-15,SKU_001,Dairy,174,895,2
2024-03-15,SKU_002,Bakery,91,614,2
2024-03-15,SKU_003,Electronics,8,47,14
2024-03-15,SKU_004,Clothing,55,201,7
2024-03-15,SKU_005,Household,32,136,5
2024-03-16,SKU_001,Dairy,163,357,2
2024-03-16,SKU_002,Bakery,148,513,2
2024-03-16,SKU_003,Electronics,10,25,14
2024-03-16,SKU_004,Clothing,46,363,7
2024-03-16,SKU_005,Household,35,151,5
2024-03-17,SKU_001,Dairy,156,606,2
2024-03-17,SKU_002,Bakery,150,337,2
2024-03-17,SKU_003,Electronics,11,61,14
2024-03-17,SKU_004,Clothing,47,158,7
2024-03-17,SKU_005,Household,24,191,5
2024-03-18,SKU_001,Dairy,141,649,2
2024-03-18,SKU_002,Bakery,85,495,2
2024-03-18,SKU_003,Electronics,8,73,14
2024-03-18,SKU_004,Clothing,59,258,7
2024-03-18,SKU_005,Household,27,143,5
2024-03-19,SKU_001,Dairy,133,485,2
2024-03-19,SKU_002,Bakery,86,219,2
2024-03-19,SKU_003,Electronics,10,46,14
2024-03-19,SKU_004,Clothing,48,185,7
2024-03-19,SKU_005,Household,32,153,5
2024-03-20,SKU_001,Dairy,115,717,2
2024-03-20,SKU_002,Bakery,100,509,2
2024-03-20,SKU_003,Electronics,9,53,14
2024-03-20,SKU_004,Clothing,45,193,7
2024-03-20,SKU_005,Household,29,193,5
2024-03-21,SKU_001,Dairy,149,587,2
2024-03-21,SKU_002,Bakery,111,716,2
2024-03-21,SKU_003,Electronics,9,60,14
2024-03-21,SKU_004,Clothing,50,246,7
2024-03-21,SKU_005,Household,29,94,5
2024-03-22,SKU_001,Dairy,144,1287,2
2024-03-22,SKU_002,Bakery,86,739,2
2024-03-22,SKU_003,Electronics,9,49,14
2024-03-22,SKU_004,Clothing,57,227,7
2024-03-22,SKU_005,Household,29,174,5
2024-03-23,SKU_001,Dairy,137,909,2
2024-03-23,SKU_002,Bakery,128,368,2
2024-03-23,SKU_003,Electronics,9,59,14
2024-03-23,SKU_004,Clothing,52,283,7
2024-03-23,SKU_005,Household,34,170,5
2024-03-24,SKU_001,Dairy,140,680,2
2024-03-24,SKU_002,Bakery,121,390,2
2024-03-24,SKU_003,Electronics,10,51,14
2024-03-24,SKU_004,Clothing,47,339,7
2024-03-24,SKU_005,Household,23,162,5
2024-03-25,SKU_001,Dairy,167,830,2
2024-03-25,SKU_002,Bakery,104,476,2
2024-03-25,SKU_003,Electronics,10,36,14
2024-03-25,SKU_004,Clothing,47,281,7
2024-03-25,SKU_005,Household,33,182,5
2024-03-26,SKU_001,Dairy,125,862,2
2024-03-26,SKU_002,Bakery,112,656,2
2024-03-26,SKU_003,Electronics,11,48,14
2024-03-26,SKU_004,Clothing,49,300,7
